Latitude,Longitude,Name,Details,Donate
"-8.4162805,31.3821957","TALAMANZOU","undefined","0"
"-8.4410987,31.2326184","2OUIAT SIDI","undefined","0"
"-8.333363,31.390538","DAR LMOUKHTAR","undefined","0"
"-8.312729,31.362902","LAGIDA SFASAF","undefined","0"
"-8.3982249,31.3989676","TIQLITE","undefined","0"
"-8.381878,31.333913","LAMRAMDA ZAOUIAT","undefined","0"
"-8.387899,31.3408619","TAGOUMATE","undefined","0"
"-8.480628,31.463263","ADOUIFIR LHAZYA","undefined","0"
"-8.8824958,31.0769336","TISSAKHTE","undefined","0"
"-8.8689235,31.1227017","TIJJATE","undefined","0"
"-8.5858243,31.3810118","AIT SI","undefined","0"
"-8.472213,31.499165","ALIWA","undefined","0"
"-8.8799613,31.0395581","TIJDINE","undefined","0"
"-8.8550027,31.0460884","BIOUGRA","undefined","0"
"-8.8461417,31.0540103","AIT OUAKRIM","undefined","0"
"-8.8582343,31.0708827","EL KATTAJARTE","undefined","0"
"-8.683342,31.045354","TAMAZGOURTE","undefined","0"
"-8.663368,31.044548","TAGNITE","undefined","0"
"-8.546787,31.254357","ZAOUIAT EL","undefined","0"
"-8.6715088,31.3580094","OULAD ZAOUIA","undefined","0"
"-8.670453,31.366434","MOUL EL","undefined","0"
"-8.680493,31.339222","AZIB BEN","undefined","0"
"-8.647957,31.37694","LABABSA","undefined","0"
"-8.8984103,30.9969905","AFELLA IZDATEN","undefined","0"
"-8.8551564,31.1013535","TAGADIRT NBAAOUNE","undefined","0"
"-8.8715128,31.09117","TIGMATINE","undefined","0"
"-8.8747001,31.0774462","AOUSSIR","undefined","0"
"-8.856876,31.084505","AGHELLA","undefined","0"
"-8.8448408,31.122046","TIMADOUINE","undefined","0"
"-8.883069,31.100868","OTFANE","undefined","0"
"-8.9004071,31.1414237","TIWLI","undefined","0"
"-8.89415,31.121962","AGHBALOU","undefined","0"
"-8.904215,31.133173","AIT BEN","undefined","0"
"-8.7475701,30.9462435","TASSA","undefined","0"
"-8.7311945,30.9325168","AFANSOU","undefined","0"
"-8.683485,30.949915","TINAGRAT","undefined","0"
"-8.7165317,30.9431933","AIT BAHAMMOU","undefined","0"
"-8.8241261,31.0300448","TAGENZA IGOUNTAR","undefined","0"
"-8.7296591,31.1248671","TABYA","undefined","0"
"-8.700192,31.098414","TAGADIRTE","undefined","0"
"-8.700139,31.081963","ZINIT LALLA","undefined","0"
"-8.65498,31.060314","TAMTDJIT","undefined","0"
"-8.7068412,31.1059517","TABRADJOTE","undefined","0"
"-8.7147713,31.0307489","OUAN CHKRIR","undefined","0"
"-8.7620072,31.040572",""AIT M""HAMED"","undefined","0"
"-8.7371214,31.1344536","IGAREN SOUK","undefined","0"
"-8.860551,31.238675","ARATAL HAMMOU","undefined","0"
"-8.863679,31.249405","ARATAL AIT","undefined","0"
"-8.851072,31.206519","AIT ABDELLAH","undefined","0"
"-8.848859,31.198029","AIT YAHYA","undefined","0"
"-8.740933,31.068226","MAGHDIR","undefined","0"
"-8.8352527,31.2737596","TASBAIT","undefined","0"
"-8.793525,31.221457","TAQANNORT","undefined","0"
"-8.7812157,31.1202983","AGADIR","undefined","0"
"-8.7589749,31.1521237","TIBOURIYINE","undefined","0"
"-8.8134052,31.1647537","TIZI WARKIOUINE","undefined","0"
"-8.7807321,31.1573953","AGAWZE","undefined","0"
"-8.80275,31.03479","WANZIDE","undefined","0"
"-8.806077,31.080614","TAGADDOTE","undefined","0"
"-8.814069,31.070805","TAGADIRTE","undefined","0"
"-8.765461,31.084502","TALBORJTE","undefined","0"
"-8.492044,31.118924","MAJDID","undefined","0"
"-8.49842,31.109558","ADASSIL","undefined","0"
"-8.49426,31.161365","KARNI","undefined","0"
"-8.420847,31.126501","IMINIGHZAR","undefined","0"
"-8.4863557,31.1133474","IWNARNE (SOUK)","undefined","0"
"-8.4463576,31.2251177","IMINWASSIF","undefined","0"
"-8.468655,31.186134","TASKOURTE","undefined","0"
"-8.468071,31.198827","IMIGHZER","undefined","0"
"-8.4511972,31.2030269","ANABDOUR","undefined","0"
"-8.432764,31.158758","IGHRMANE","undefined","0"
"-8.4317211,31.2540592","TIGRAR","undefined","0"
"-8.4574475,31.2145514","TIMLILTE","undefined","0"
"-8.4507211,31.2195488","ZILAWTE","undefined","0"
"-8.7276893,31.2137974","OULGHASSE","undefined","0"
"-8.777008,31.211668","AIT ALI","undefined","0"
"-8.6957084,31.1919255","MSAFOUR","undefined","0"
"-8.7143654,31.2058403","BARHICH","undefined","0"
"-8.759331,31.224073","TAGANTANE","undefined","0"
"-8.7716593,31.2625332","TAZDIMT IFRANE","undefined","0"
"-8.8024731,31.2606198","AIT DAALI","undefined","0"
"-8.7799363,31.2529198","AGADIR IRIJDALENE","undefined","0"
"-8.6713656,31.149261","LAMSID","undefined","0"
"-8.6589596,31.1685674","TAMAZIRT","undefined","0"
"-8.733249,31.268604","TALAQBORNE","undefined","0"
"-8.725015,31.260863","IDAZZANE","undefined","0"
"-8.724409,31.274123","TAZDDIMTE AIT","undefined","0"
"-8.730837,31.233513","ZNADA","undefined","0"
"-8.29717,31.381019","AHL CHALGOUM","undefined","0"
"-8.319811,31.349273","LAGIDA DABOUZ","undefined","0"
"-8.3091013,31.3943345","SIDI RAYCH","undefined","0"
"-8.3139094,31.3801587","BEN SWINA","undefined","0"
"-8.3225473,31.3919221","LAHRACH","undefined","0"
"-8.2705787,31.3719312","LAGIDA AHL","undefined","0"
"-8.429543,31.447727","AZIB AIT","undefined","0"
"-8.429704,31.456088","AZIB LHASSYA","undefined","0"
"-8.446468,31.441558","AZIB BOULAROUG","undefined","0"
"-8.5300571,31.0144831","IGHRAME","undefined","0"
"-8.5262282,31.0117935","TAGOUMATE","undefined","0"
"-8.5240064,31.0093332","ALLOUSSE","undefined","0"
"-8.493209,30.9899011","ANSSA","undefined","0"
"-8.5306486,31.0043999","AIT KATTOF","undefined","0"
"-8.5003381,31.0734128","TARGUA","undefined","0"
"-8.5007425,31.0687974","AIT ALI","undefined","0"
"-8.489708,31.058982","TIKSITE","undefined","0"
"-8.4874309,31.0198628","TAMESSOULTE","undefined","0"
"-8.5838433,31.0112931","ARG","undefined","0"
"-8.607848,31.007173","TINDRI","undefined","0"
"-8.5551007,31.0402443","IGARNTIQURI","undefined","0"
"-8.5793612,31.0157374","IMIN IGHZARN","undefined","0"
"-8.492114,31.313274","LOUALIJA","undefined","0"
"-8.51891,31.355369","AIT AALOUACHE","undefined","0"
"-8.625557,30.973715","ISSOU QAN","undefined","0"
"-8.532431,31.364309","AIT BRAHIM","undefined","0"
"-8.498732,31.424355","SBAYTE","undefined","0"
"-8.506587,31.405448","AIT BELLA","undefined","0"
"-8.494497,31.397795","LAHRARCHA","undefined","0"
"-8.529584,31.393195","AIT HAMANE","undefined","0"
"-8.5041799,31.4946734","LAMAAYACHA","undefined","0"
"-8.4719729,31.4513815","BOULAAROUG","undefined","0"
"-8.591197,31.360394","BEN DOUKKALI","undefined","0"
"-8.5795707,31.4618227","FILALA","undefined","0"
"-8.5837759,31.4719566","ZKARA LIBEL","undefined","0"
"-8.588644,31.27006","LAGHRIBI","undefined","0"
"-8.5822645,31.2480486","LAMADIR","undefined","0"
"-8.622379,31.319785","AIT HASSAYNE","undefined","0"
"-8.5675798,31.2357345","TAGHKIWINE","undefined","0"
"-8.5545049,31.2228935","AIT ABDELLAH","undefined","0"
"-8.567695,31.226585","AGADIR ASLWANE","undefined","0"
"-8.5516482,31.2444947","ONGASTE","undefined","0"
"-8.540922,31.235146","EL BARI","undefined","0"
"-8.54782,31.248933","LHOUCH","undefined","0"
"-8.566999,31.24535","TIHANNAOUINE LAJBAH","undefined","0"
"-8.579349,31.283207","AIT MHAND","undefined","0"
"-8.5133882,31.2539381","TAHTE DRAA","undefined","0"
"-8.5200194,31.255607","AIT WARHMANE","undefined","0"
"-8.52343,31.232708","TACHKAKCHTE","undefined","0"
"-8.520328,31.224576","TIGANGMINE","undefined","0"
"-8.4720872,31.236872","ZAOUIAT SIDI","undefined","0"
"-8.4748283,31.2749168","SAKIAT SOLTANE","undefined","0"
"-8.470341,31.239303","TAGADIRT IGAZAR","undefined","0"
"-8.485418,31.236459","AIT BOU","undefined","0"
"-8.6831447,31.2206175","AIT NIFI","undefined","0"
"-8.4746625,31.2857987","SAHB AIT","undefined","0"
"-8.50419,31.289776","IKFAYANE","undefined","0"
"-8.47197,31.261205","AWRIR","undefined","0"
"-8.6837806,31.1934929","TIGHAZRATINE","undefined","0"
"-8.6529124,31.211133","TNID","undefined","0"
"-8.678342,31.241868","IRIQ TAHTANI","undefined","0"
"-8.650509,31.240864","AIT MELLOUL","undefined","0"
"-8.652895,31.2020357","AGADIR IRAGAGENE","undefined","0"
"-8.6342933,31.1955279","BOUJARATE","undefined","0"
"-8.634055,31.188101","IZAGHRI","undefined","0"
"-8.667219,31.188158","KATTOUSSE","undefined","0"
"-8.599421,31.295554","TIHOUNA IMZILEN","undefined","0"
"-8.588406,31.231832","TAMAZIRT","undefined","0"
"-8.5851922,31.1999596","IDOUGHASS","undefined","0"
"-8.645288,31.2381607","ANAZDI","undefined","0"
